date,equity,daily_return,target_exposure,actual_equivalent_exposure,trend_label,vix_label
2018-01-31,141412.41826846046,0.0005913267511567581,120.0,119.99000000000001,accelerating_bull,low
2018-02-01,141219.13552848078,-0.0013668017444743987,120.0,119.99000000000001,accelerating_bull,low
2018-02-02,137529.5288493969,-0.02612681819129073,120.0,119.99000000000001,accelerating_bull,low
2018-02-05,134078.44861936773,-0.02509337637452633,60.0,60.0,accelerating_bull,danger
2018-02-06,135663.44688640887,0.01182142457167572,100.0,60.0,accelerating_bull,normal
2018-02-07,135221.85859408416,-0.0032550278093290475,100.0,60.0,accelerating_bull,normal
2018-02-08,132178.64056601195,-0.022505370505278278,60.0,60.0,accelerating_bull,danger
2018-02-09,133369.97042645293,0.009013028544850376,100.0,60.0,accelerating_bull,normal
2018-02-12,135328.44333291703,0.014684511814780032,100.0,100.0,accelerating_bull,normal
2018-02-13,135665.06926460538,0.0024874736115911844,100.0,100.0,accelerating_bull,normal
2018-02-14,137496.00769852608,0.013496019600665043,120.0,100.0,accelerating_bull,low
2018-02-15,139250.46435294728,0.012760055246607838,120.0,100.0,accelerating_bull,low
2018-02-16,139291.26937172073,0.00029303326895924187,120.0,100.0,accelerating_bull,low
2018-02-20,138419.15603982116,-0.006261076776981622,100.0,100.0,accelerating_bull,normal
2018-02-21,137730.59897872034,-0.004974434758890811,100.0,100.0,accelerating_bull,normal
2018-02-22,137944.2088040687,0.001550924971881919,120.0,119.99000000000001,accelerating_bull,low
2018-02-23,140581.75909303778,0.01912041333112692,96.0,119.99000000000001,confirmed_bull,low
2018-02-26,142148.96156377104,0.0111479788049607,96.0,96.0,confirmed_bull,low
2018-02-27,140444.95994282386,-0.01198743629360056,96.0,96.0,confirmed_bull,low
2018-02-28,139079.17831081743,-0.00972467529317143,96.0,96.0,confirmed_bull,low
2018-03-01,137137.77035640826,-0.013959012254662966,80.0,96.0,confirmed_bull,normal
2018-03-02,137816.43305577626,0.004948765738309788,96.0,96.0,confirmed_bull,low
2018-03-05,139345.60629850757,0.011095725007716765,96.0,96.0,confirmed_bull,low
2018-03-06,139684.66612052624,0.002433229371382666,96.0,96.0,confirmed_bull,low
2018-03-07,139635.56939607486,-0.00035148256293940247,96.0,96.0,confirmed_bull,low
2018-03-08,140284.26394037635,0.004645625374015267,96.0,96.0,confirmed_bull,low
2018-03-09,142627.89797631378,0.016706321650826864,96.0,96.0,confirmed_bull,low
2018-03-12,142455.99903230782,-0.0012052266523237165,96.0,96.0,confirmed_bull,low
2018-03-13,141572.18377801913,-0.006204128013508523,96.0,96.0,confirmed_bull,low
2018-03-14,140874.68490368617,-0.004926807341099071,96.0,96.0,confirmed_bull,low
2018-03-15,140727.38602144516,-0.0010456022126452424,96.0,96.0,confirmed_bull,low
2018-03-16,140873.89927242667,0.0010411139943947488,96.0,96.0,confirmed_bull,low
2018-03-19,139044.0831653001,-0.01298903570197904,96.0,96.0,confirmed_bull,low
2018-03-20,139271.0663648928,0.0016324549338990124,96.0,96.0,confirmed_bull,low
2018-03-21,139014.44740708522,-0.0018425862923689706,96.0,96.0,confirmed_bull,low
2018-03-22,136234.51439267944,-0.0199974395917649,80.0,80.0,confirmed_bull,normal
2018-03-23,133911.47678417055,-0.017051755341623755,80.0,80.0,confirmed_bull,normal
2018-03-26,136842.41485429424,0.021887131263943618,80.0,80.0,confirmed_bull,normal
2018-03-27,134980.06700356875,-0.013609434273053812,80.0,80.0,confirmed_bull,normal
2018-03-28,134661.00759972187,-0.0023637520037565808,80.0,80.0,confirmed_bull,normal
2018-03-29,136312.81525351663,0.012266413888010844,96.0,96.0,confirmed_bull,low
2018-04-02,133959.0045593215,-0.01726771389628681,80.0,80.0,confirmed_bull,normal
2018-04-03,135332.55671382567,0.010253526136765957,80.0,80.0,confirmed_bull,normal
2018-04-04,136490.90529965406,0.008559275121638522,80.0,80.0,confirmed_bull,normal
2018-04-05,137352.66778200452,0.006313698927108114,96.0,80.0,confirmed_bull,low
2018-04-06,134903.85192598883,-0.017828673411005448,80.0,80.0,confirmed_bull,normal
2018-04-09,135435.7285107295,0.003942634529312628,80.0,80.0,confirmed_bull,normal
2018-04-10,137158.52465263256,0.012720396315264716,80.0,80.0,confirmed_bull,normal
2018-04-11,136583.30107644593,-0.0041938594603831095,80.0,80.0,confirmed_bull,normal
2018-04-12,137662.04427679259,0.007898060684174481,96.0,96.0,confirmed_bull,low
2018-04-13,137274.42346484374,-0.002815742087699,96.0,96.0,confirmed_bull,low
2018-04-16,138357.9190187557,0.007892916441127369,96.0,96.0,confirmed_bull,low
2018-04-17,139778.88460870725,0.010270215106075113,96.0,96.0,confirmed_bull,low
2018-04-18,139878.25837509678,0.0007109354654511434,96.0,96.0,confirmed_bull,low
2018-04-19,139133.30305065704,-0.005325740633988119,96.0,96.0,confirmed_bull,low
2018-04-20,138000.74779033056,-0.008140073120481652,96.0,96.0,confirmed_bull,low
