date,equity,buy_hold_equity,leveraged_buy_hold_equity,ma120_timing_equity,leveraged_ma120_timing_equity,daily_return,buy_hold_daily_return,leveraged_buy_hold_daily_return,ma120_timing_daily_return,leveraged_ma120_timing_daily_return,target_exposure,actual_equivalent_exposure,overnight_equivalent_exposure,intraday_equivalent_exposure,post_close_equivalent_exposure,pending_next_open_equivalent_exposure,local_defensive_percent,post_close_local_defensive_percent,trend_label,vix_label
2010-08-09,1055936.5773583052,1051852.742535406,1145163.9201358706,1065928.5743863098,1199682.8120400324,0.012788551878013029,0.005338979949172096,0.015981225561802002,0.005338979949172096,0.015981225561802002,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-08-10,1042227.7715992251,1046173.7881050662,1126574.7965977036,1060173.62452009,1180208.698677308,-0.012982603361819457,-0.005399001400758108,-0.016232718487988608,-0.005399001400758108,-0.016232718487988608,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,risk_watch,low
2010-08-11,973647.2367962467,1017501.2732227319,1033906.3589301152,1031117.4157213873,1083128.5078560512,-0.0658018685279768,-0.027407028553323665,-0.08225679994568529,-0.027407028553323665,-0.08225679994568529,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,risk_watch,low
2010-08-12,959298.4280692025,1011263.9166561062,1014855.6709092108,1024796.5912141692,1063170.8558777175,-0.014737173983319142,-0.006130072493049643,-0.018425931764863214,-0.006130072493049643,-0.018425931764863214,100.0,240.0,240.0,240.0,100.0,100.0,0.0,0.0,risk_off,low
2010-08-13,956472.6360311331,1008285.0506010193,1005851.0873569078,1024796.5912141692,1063170.8558777175,-0.002945686092446609,-0.002945686092446609,-0.008872772563054113,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-08-16,956030.9303112758,1007819.4175475268,1004421.6370068061,1024796.5912141692,1063170.8558777175,-0.00046180695946540506,-0.00046180695946540506,-0.0014211351641105008,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-08-17,967776.0719379386,1020200.7970802396,1041404.6749855819,1024796.5912141692,1063170.8558777175,0.012285315520951468,0.012285315520951468,0.03682023227714012,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-08-18,969542.2700568027,1022062.6706901736,1047069.1944689542,1026666.8521806306,1068953.7682958478,0.0018250070135825691,0.0018250070135825691,0.005439306755033422,0.0018250070135825691,0.005439306755033422,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-08-19,952675.4305651132,1004282.1493561543,992385.1418924162,1008806.2332659398,1013126.7757951035,-0.01739670359158374,-0.01739670359158374,-0.052225825060465504,-0.01739670359158374,-0.052225825060465504,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-08-20,949584.3830412051,1001023.6588446156,982690.03100349,1008806.2332659398,1013126.7757951035,-0.0032445966640228807,-0.0032445966640228807,-0.009769504277782929,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-08-23,945963.9848152412,997207.1425419546,971415.0831332975,1008806.2332659398,1013126.7757951035,-0.003812613487143679,-0.003812613487143679,-0.011473554747145323,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-08-24,931922.7588586023,982405.2990904404,928123.3771061951,1008806.2332659398,1013126.7757951035,-0.01484329866890366,-0.01484329866890366,-0.04456561029242526,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-08-25,935543.4248390943,986222.097651974,938907.9442034222,1008806.2332659398,1013126.7757951035,0.0038851567322237823,0.0038851567322237823,0.01161975591095706,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-08-26,929273.5955575702,979612.6298049759,919997.278877637,1008806.2332659398,1013126.7757951035,-0.006701804657119337,-0.006701804657119337,-0.020141128257072295,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-08-27,943667.8112337556,994786.5845368623,962716.0053816577,1008806.2332659398,1013126.7757951035,0.015489749999351599,0.015489749999351599,0.04643353571234051,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-08-30,929979.8427511913,980357.1346245931,920788.8310011303,1008806.2332659398,1013126.7757951035,-0.01450507087305275,-0.01450507087305275,-0.043550926904872535,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-08-31,929979.8427511913,980357.1346245931,920755.9456857374,1008806.2332659398,1013126.7757951035,0.0,0.0,-3.571428571428571e-05,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-09-01,957797.3069331583,1009681.4793300423,1003347.7412271474,1008806.2332659398,1013126.7757951035,0.02991190013288203,0.02991190013288203,0.0896999861129318,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
