date,equity,buy_hold_equity,leveraged_buy_hold_equity,ma120_timing_equity,leveraged_ma120_timing_equity,daily_return,buy_hold_daily_return,leveraged_buy_hold_daily_return,ma120_timing_daily_return,leveraged_ma120_timing_daily_return,target_exposure,actual_equivalent_exposure,overnight_equivalent_exposure,intraday_equivalent_exposure,post_close_equivalent_exposure,pending_next_open_equivalent_exposure,local_defensive_percent,post_close_local_defensive_percent,trend_label,vix_label
2025-07-14,1282083.398484818,1165552.7599762443,1387213.3921329747,1075115.9967432232,1214336.2272833842,0.005688637394148341,0.0019081172266208757,0.005688637394148341,0.0019081172266208757,0.005688637394148341,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-07-15,1265601.940188331,1160572.1583265464,1369380.4651191877,1070521.846490338,1198725.6734679793,-0.012855215437595527,-0.00427316705062708,-0.012855215437595527,-0.00427316705062708,-0.012855215437595527,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-07-16,1278250.187617078,1164452.1728586596,1383065.8605005685,1074100.8056197008,1210705.5689120064,0.009993859069831043,0.0033431911185151097,0.009993859069831043,0.0033431911185151097,0.009993859069831043,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-07-17,1301671.6422746435,1171578.1443262973,1408407.8590028563,1080673.8636401282,1232889.3994802593,0.018323059823858255,0.006119591369857513,0.018323059823858255,0.006119591369857513,0.018323059823858255,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-07-18,1298765.4531283346,1170720.1801173675,1405263.364262034,1079882.4699964183,1230136.777640002,-0.002232659183717325,-0.0007323149660010131,-0.002232659183717325,-0.0007323149660010131,-0.002232659183717325,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-07-21,1306107.1290426084,1172940.0706488506,1413207.0527623428,1081930.1163178643,1237090.5086080597,0.005652811211285322,0.001896175165666536,0.005652811211285322,0.001896175165666536,0.005652811211285322,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-07-22,1306621.2770742418,1173107.9431961547,1413763.3605936924,1082084.9634146395,1237577.488301999,0.0003936492039594207,0.0001431211632245688,0.0003936492039594207,0.0001431211632245688,0.0003936492039594207,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-07-23,1339923.0147658503,1183088.2072635756,1449795.8188266703,1091290.8457385118,1269119.5132265869,0.025486909080630525,0.008507541122114937,0.025486909080630525,0.008507541122114937,0.025486909080630525,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-07-24,1341205.9150557625,1183479.8715993173,1451183.9160947893,1091652.1203261316,1270334.623179554,0.0009574432827668876,0.00033105252282705777,0.0009574432827668876,0.00033105252282705777,0.0009574432827668876,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-07-25,1358154.7926385615,1188479.189545329,1469522.5904682875,1096263.534653418,1286387.8971591622,0.012637043568432501,0.004224252618048929,0.012637043568432501,0.004224252618048929,0.012637043568432501,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-07-28,1357083.188414534,1188180.7622194446,1468363.1154041898,1095988.262694103,1285372.9180773925,-0.0007890147940688232,-0.0002511001694515125,-0.0007890147940688232,-0.0002511001694515125,-0.0007890147940688232,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-07-29,1346296.5878346579,1185046.8734139944,1456692.0206862662,1093097.536420311,1275156.297326465,-0.007948370941414576,-0.0026375522185667633,-0.007948370941414576,-0.0026375522185667633,-0.007948370941414576,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-07-30,1341162.2066842986,1183554.5071367645,1451136.623665674,1091720.964794602,1270293.2244226814,-0.0038137073188437088,-0.001259331011043141,-0.0038137073188437088,-0.001259331011043141,-0.0038137073188437088,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-07-31,1326021.2982950967,1179114.7260737983,1434754.170768006,1087625.6721517104,1255952.3838871003,-0.011289393865812994,-0.0037512265266995692,-0.011289393865812994,-0.0037512265266995692,-0.011289393865812994,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-08-01,1260772.003181195,1159788.6000072565,1364154.4764609018,1069799.0854859648,1194150.957431414,-0.0492068228449987,-0.016390369519761472,-0.0492068228449987,-0.016390369519761472,-0.0492068228449987,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-08-04,1318217.096001807,1177417.0546566371,1426310.0290304553,1086059.725280424,1248560.567113722,0.04556342675413635,0.01519971367995021,0.04556342675413635,0.01519971367995021,0.04556342675413635,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-08-05,1298120.4526489552,1171447.7043716214,1404565.474168468,1080553.5446921554,1229525.859933984,-0.015245321437421447,-0.005069869050569054,-0.015245321437421447,-0.005069869050569054,-0.015245321437421447,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-08-06,1327903.2693200097,1180420.5035074106,1436790.462176545,1088830.132606243,1257734.9087969072,0.02294303014044615,0.007659581475386812,0.02294303014044615,0.007659581475386812,0.02294303014044615,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-08-07,1324518.99295031,1179431.7548720927,1433128.6773751236,1087918.1022708595,1254529.4625648428,-0.0025485865182279044,-0.0008376240775045396,-0.0025485865182279044,-0.0008376240775045396,-0.0025485865182279044,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-08-08,1355456.17798219,1188628.575444127,1466602.6911887638,1096401.3295049255,1283831.8812676976,0.02335729815619233,0.007797670813968871,0.02335729815619233,0.007797670813968871,0.02335729815619233,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-08-11,1347366.3638361774,1186278.0153101597,1457849.5176148154,1094233.152406373,1276169.5447916912,-0.005968333227899283,-0.001977539647394999,-0.005968333227899283,-0.001977539647394999,-0.005968333227899283,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2025-08-12,1390350.893178379,1198907.2668374325,1504358.7500317586,1105882.4837881129,1316882.708424142,0.03190262908138627,0.010646114455700184,0.03190262908138627,0.010646114455700184,0.03190262908138627,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
