date,execution_timing,target_exposure,core_percent,leveraged_percent,local_defensive_percent,cash_percent,trend_label,vix,cap_note
2022-09-19,next_session,100.0,100.0,0.0,0.0,0.0,risk_off,25.760000228881836,
2023-12-13,next_session,240.0,30.0,70.0,0.0,0.0,allowed,12.1899995803833,
2023-12-20,next_session,300.0,0.0,100.0,0.0,0.0,accelerating_bull,13.670000076293945,
2024-08-05,next_session,100.0,100.0,0.0,0.0,0.0,accelerating_bull,38.56999969482422,
2024-08-12,next_session,300.0,0.0,100.0,0.0,0.0,confirmed_bull,20.709999084472656,
2025-03-05,next_session,100.0,100.0,0.0,0.0,0.0,risk_off,21.93000030517578,
2025-05-12,next_session,240.0,30.0,70.0,0.0,0.0,allowed,18.389999389648438,
2025-07-01,next_session,300.0,0.0,100.0,0.0,0.0,accelerating_bull,16.829999923706055,
2026-03-12,next_session,100.0,100.0,0.0,0.0,0.0,risk_off,27.290000915527344,
2026-04-08,next_session,240.0,30.0,70.0,0.0,0.0,allowed,21.040000915527344,
2026-05-08,next_session,300.0,0.0,100.0,0.0,0.0,accelerating_bull,17.190000534057617,
